Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1882,12.2,2.5,21.6,107.7,124.7,69.6,94.7,43.9,74.4,90.2,69.6,45,756.1
1883,6.6,93.7,64.5,40.6,51.1,89.4,70.1,56.1,56.1,61,49.5,34.5,673.2
1884,53.6,29.7,41.7,42.2,64.3,79.8,37.8,60.7,64,53.6,59.4,65,651.8
1885,46.7,39.6,52.8,47.5,35.3,92.7,80.8,66.3,49.5,18.5,46.2,22.1,598
1886,86.8,41.9,20.8,25.6,38.8,38.8,44.7,111.6,68.1,142.3,39.9,28.8,688.1
1887,22.2,21.8,12.4,44.3,36.1,104,109.2,41.6,97.3,59.7,80.9,23.3,652.8
1888,30.6,11.5,60.5,33.2,76.9,81.8,70.9,40.8,25.3,23.8,15.5,36.3,507.1
1889,62.8,33.6,12.7,96.7,74.2,133.6,37.1,80.7,62.8,107.7,54.6,22,778.5
1890,18.3,21.8,42.9,43.9,51.4,73.2,80.5,96.8,99.8,103.7,58.6,40.7,731.6
1891,23.7,3.8,22.1,20.6,57.1,156.3,73,42,45.1,91.5,51.3,63.7,650.2
1892,17.2,6.9,72.7,155.3,74.8,102.3,65.3,73.4,115.4,42.2,51.3,77.8,854.6
1893,6.6,3.8,32.6,58,165.1,94.4,57.6,59.5,129.4,98.9,68.4,43,817.3
1894,19.5,12.7,40.4,123.6,52.2,62,149.3,76.7,58.1,180.5,16.8,57.8,849.6
1895,42.6,3.8,41,75.1,57,75,78.8,154,84.3,30.4,13.2,44.6,699.8
1896,64.5,50.6,35.3,93.3,61.7,75.6,75.6,75.1,62.8,24.2,17.8,36.6,673.1
1897,85.6,65.9,36.5,44.7,80,51,59.5,124.3,33.5,90.6,42.5,10.6,724.7
1898,3,39.4,15,50.1,76.8,99.2,71.6,81.5,83.9,47.2,47.1,29.2,644
1899,81.7,51.2,126.6,67.3,89.4,158.8,27.1,108.8,63.8,63.1,59.2,29.6,926.6
1900,45.9,7.9,86,101.9,96.6,111,48.6,123.6,66.1,54.6,20.1,19.3,781.6
1901,59.6,9.2,38.1,153.4,51.1,110.6,50.8,75,93.8,65.3,42,27.6,776.5
1902,38.7,50.4,74.5,10.4,24.8,98.8,68.2,46.9,73.1,46.9,27,102.5,662.2
1903,19.6,28.9,73.2,81.5,71.8,102.9,90.9,82.2,126.9,69.1,61.5,48.5,857
1904,135.8,81.2,30.8,32.3,87.6,60.9,108.6,75.1,73.3,82.7,61.2,7.6,837.1
1905,23.8,24.9,26.6,25.4,137.5,90.3,126.8,52.3,117,74.6,31,52.5,782.7
1906,3.3,4.3,73,51.1,133.1,94.8,123.9,96.4,83.6,100.9,107.5,16.3,888.2
1907,12.1,17.3,25.7,98.2,57.2,64.6,96.2,104,61.7,63.6,31.3,111.7,743.6
1908,12.8,16,60.2,17,93.4,109,69.5,62.7,118.3,53.3,30.4,19.4,662
1909,46.5,42.6,56.5,76.1,95.2,183.1,59.6,171.9,52.4,45.6,36.5,59.3,925.3
1910,40.1,11.2,85.6,31,108.7,92.9,75.4,81.4,118.4,81.8,56.5,60.5,843.5
1911,21.4,153.9,161,33.7,99.8,96.6,65,65.2,125.6,47,20.3,93.8,983.3
1912,10,19.3,30.9,87.9,40.9,62.7,65.1,63.6,148.3,66,70.6,79,744.3
1913,9.1,36.1,148.6,32.3,105.4,53.2,68.8,120.1,106.3,48.7,74.7,40,843.3
1914,28.4,2.3,24.9,76,46.6,26.3,107,22,34.9,8.4,53.5,58.8,489.1
1915,31.5,30,20.5,46.6,92.2,133,68.5,95.7,111.9,81.6,61.2,4.8,777.5
1916,73.3,34.8,3.8,48.6,36,111.8,63.2,100.2,215.7,70,127,99.1,983.5
1917,24.4,47.9,43.2,54.1,111.7,80.8,134.6,77.3,92.6,140.6,75,17.5,899.7
1918,36.3,37.8,71.4,19.6,106.4,81.8,119.7,48.1,49.6,88,20.7,33.3,712.7
1919,13.2,101.9,105.8,15.2,101.5,106.1,66.5,82.9,95.2,33.8,19,42.2,783.3
1920,23.6,16.8,62.2,34.4,63.1,128,85.6,134.4,72.6,50.8,46,34,751.5
1921,52.1,24.7,19.1,25.1,102,70.2,108.9,136.4,90,61,50,22.9,762.4
1922,21.4,36.2,24.7,57,64.6,124.3,105.8,96.2,63.2,138.7,46.9,99.2,878.2
1923,39,13.1,4.8,1,156.5,168.5,164.9,102.2,96,101.4,94.5,70.1,1012
1924,61.8,109.3,94.4,67.2,47.6,76.8,53,121.1,98.5,64.9,98.2,68.3,961.1
1925,26,38,15.1,40.6,201.5,57.3,83.4,89.1,90.3,39.4,58.3,16.2,755.2
1926,18.5,8.1,47.9,77.9,92.8,78.5,109.3,71.1,62.5,106.8,48.6,32.2,754.2
1927,13.5,27.8,30.4,20.8,100.1,46.5,183.3,110.9,46.9,37.9,33,45.2,696.3
1928,57.4,108.3,85.4,49,83.6,83.9,48.7,36.6,99.3,170.5,51.1,20.8,894.6
1929,44.6,79,31.5,103.5,58.3,134.5,74.8,91.2,50.9,65.4,61.9,69.6,865.2
1930,6.7,41.2,16.3,51.6,69.2,77.2,80.5,135.7,102.5,102.3,75.3,84.4,842.9
1931,41.2,22.7,58.7,99.9,97.3,142.7,112.9,82.2,55.1,49.2,97.6,6.1,865.6
1932,5,65.3,96.5,133.1,16.3,117,93.9,78.7,54.2,94.3,36.3,50.6,841.2
1933,22.6,18.8,44.1,51.1,89.3,46.6,36,91.7,78.6,47.3,87.1,82.4,695.6
1934,62.8,31.3,32.1,151,10,53.3,89.5,70.5,87.8,123.6,113.7,38.6,864.2
1935,25,72.4,82,191.1,54.7,88.9,80.9,87.3,91.5,65.4,56.9,28,924.1
1936,43.6,5.6,52.8,67.3,56.7,62.6,138.3,201.8,47.3,102.1,49.5,55.4,883
1937,88.2,30.9,60.2,28.3,63.3,31.2,58.5,78.6,92.6,64.1,22.8,98.1,716.8
1938,58.7,46.8,45.9,67,29.6,103.1,58.3,49.7,57.8,21.6,35,24.4,597.9
1939,5.9,116.2,9.7,70.9,88.2,161.5,47.5,185.3,78.9,79.5,99.9,50.9,994.4
1940,48.1,24.8,15.5,40,30.5,54.3,66.7,40.4,59.2,19.3,76.9,41.2,516.9
1941,56.5,20,132.4,31.2,31.2,110.1,86.4,105.6,103.5,49,50.7,40.4,817
1942,42.8,27.2,33.3,42.4,149.7,61.4,93.8,127.4,109.3,86.2,47.1,44.4,865
1943,44.2,37.1,22.8,105.8,91.3,124.3,79.9,133.2,109.5,34.8,22.5,19.8,825.2
1944,31.3,26.1,19.8,72.5,150.2,36.4,52.8,30.2,47.2,52.4,41.6,63.3,623.8
1945,21.4,48.6,10.6,22.8,62.4,67.5,98.2,95.2,63.2,74.1,67.8,12.9,644.7
1946,92.8,132.1,134.8,68.5,38.9,79.9,99.3,98,65.7,54.9,27.8,45.9,938.6
1947,28.2,30.4,98.8,74,29.1,94.6,122.9,89.9,62.3,101.7,56.9,86.1,874.9
1948,15.1,15.1,25.6,69.8,107.9,49.6,58.8,83.4,68.8,156.2,46.8,44.2,741.3
1949,24,89.6,56.2,14.4,79.2,39,57.2,31.5,61.1,220.4,98.3,19,789.9
1950,19.6,47.6,41.5,63.3,48.3,18.9,57.1,57.1,120.6,59,44.9,34.2,612.1
1951,7,221.3,4.1,114.2,105,76.4,123.8,305.5,41.6,88.8,59.9,64.9,1212.5
1952,46.4,32.8,21.9,102.1,123.4,399.3,92.6,115,132.3,99.8,130.5,51.9,1348
1953,16,8.8,10.6,36,48.6,97.9,101.8,94.7,90.4,66.3,139.6,37.3,748
1954,53.4,36,24,96.6,45.1,67.7,58,69.7,58.9,55.2,73.9,57.4,695.9
1955,10.9,69.5,17.8,54.9,50.9,91,97.6,153.7,71.3,62.8,71.9,68.1,820.4
