ACCIDENT_NO,ROAD_NAME,ROAD_TYPE,ROAD_NAME_INT,ROAD_TYPE_INT,ACCIDENTDATE,ACCIDENTTIME,ACCIDENT_TYPE,Accident Type Desc,DAY_OF_WEEK,Day Week Description,DCA_CODE,DCA Description,DIRECTORY,EDITION,PAGE,GRID_REFERENCE_X,GRID_REFERENCE_Y,LIGHT_CONDITION,Light Condition Desc,NODE_ID.y,NO_OF_VEHICLES,NO_PERSONS,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_KILLED,NO_PERSONS_NOT_INJ,POLICE_ATTEND,ROAD_GEOMETRY,Road Geometry Desc,SEVERITY,SPEED_ZONE
T20060002016,COLAC-FORREST,ROAD,BOUNDARY HILL,ROAD,29/01/2006,10:50:00,4,Collision with a fixed object,1,Sunday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,VCS,9,92,D,8,1,Day,202220,1,1,1,0,0,0,1,5,Not at intersection,2,100
T20060005251,FORREST-APOLLO BAY,ROAD,MULGREWS,ROAD,5/03/2006,19:00:00,4,Collision with a fixed object,1,Sunday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,VCS,9,101,D,3,1,Day,203340,1,2,1,0,0,1,1,5,Not at intersection,2,100
T20060010129,COLAC-FORREST,ROAD,MEADOWELL,ROAD,29/03/2006,8:40:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,VCS,9,92,C,9,1,Day,55840,2,3,2,1,0,0,1,2,T intersection,3,100
T20060020280,COLAC-FORREST,ROAD,COLLINS,ROAD,17/05/2006,8:40:00,1,Collision with vehicle,4,Wednesday,111,RIGHT FAR (INTERSECTIONS ONLY),VCS,9,92,C,7,1,Day,50619,2,5,0,1,0,4,1,1,Cross intersection,3,100
T20060021082,FORREST-APOLLO BAY,ROAD,PACK,TRACK,21/05/2006,14:10:00,4,Collision with a fixed object,1,Sunday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,VCS,9,101,D,4,1,Day,204549,1,2,0,1,0,1,1,5,Not at intersection,3,100
T20060041341,BIRREGURRA-FORREST,ROAD,CAPE OTWAY,ROAD,5/11/2006,9:30:00,4,Collision with a fixed object,1,Sunday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,VCS,9,92,E,7,1,Day,207022,1,1,1,0,0,0,1,5,Not at intersection,3,100
T20060043414,BIRREGURRA-FORREST,ROAD,DIVISION,ROAD,22/11/2006,7:55:00,1,Collision with vehicle,4,Wednesday,111,RIGHT FAR (INTERSECTIONS ONLY),VCS,9,92,E,8,1,Day,50377,2,5,2,2,1,0,1,2,T intersection,1,100
T20070024866,COLAC-FORREST,ROAD,SEVEN BRIDGES,ROAD,9/07/2007,5:35:00,5,collision with some other object,2,Monday,166,STRUCK OBJECT ON CARRIAGEWAY,VCS,9,92,C,9,5,Dark No street lights,212655,1,1,0,1,0,0,1,5,Not at intersection,3,100
T20070034029,BIRREGURRA-FORREST,ROAD,CAPE OTWAY,ROAD,19/09/2007,9:00:00,6,Vehicle overturned (no collision),4,Wednesday,189,OTHER ACCIDENTS ON CURVE NOT INCLUDED IN DCAs 180-184,VCS,9,92,E,7,1,Day,212135,1,3,2,1,0,0,2,5,Not at intersection,2,100
T20070038216,FORREST-APOLLO BAY,ROAD,MULGREWS,ROAD,21/10/2007,23:15:00,6,Vehicle overturned (no collision),1,Sunday,170,OFF CARRIAGEWAY TO LEFT,VCS,9,101,D,3,5,Dark No street lights,213237,1,1,1,0,0,0,1,5,Not at intersection,2,80
