TENURE,LU_DESCS,HECTARES,LC_DESC_09,LC_DESC_08
PRIVATE,Forestry (Commercial Timber Production),70.68741313,Softwood Plantation,Unknown
PRIVATE,Forestry (Commercial Timber Production),73.30454093,Softwood Plantation,Unknown
PUBLIC,Reserved Land,8.92640171,Unknown,Unknown
PRIVATE,Forestry (Commercial Timber Production),127.65343224,Softwood Plantation,Unknown
PUBLIC,Nature Reserve Area,26.59937401,Softwood Plantation,Native woody cover
PUBLIC,Reserved Land,126.11060967,Native woody cover,Native woody cover
PRIVATE,Livestock Production (Beef Cattle),23.65040123,Pasture and grassland,Pasture and grassland
PUBLIC,Reserved Land,3.03643177,Unknown,Unknown
PUBLIC,Water Supply,32.31542847,Softwood Plantation,Unknown
PUBLIC,National Park - Land,219.19102105,Native woody cover,Native woody cover
PUBLIC,National Park - Land,0.72304760,Unknown,Unknown
PUBLIC,Reserved Land,3.44514172,Unknown,Unknown
PUBLIC,National Park - Land,28.54630975,Native woody cover,Native woody cover
PRIVATE,Livestock Production (Dairy Cattle),19.86069159,Pasture and grassland,Unknown
PUBLIC,Reserved Land,1.24411553,Unknown,Unknown
PUBLIC,Water Supply,2.84820337,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.35445551,Unknown,Unknown
PRIVATE,Forestry (Commercial Timber Production),114.84561135,Softwood Plantation,Unknown
PUBLIC,National Park - Land,0.16900564,Unknown,Unknown
PUBLIC,Water Supply,37.07827021,Softwood Plantation,Unknown
PUBLIC,Reserved Land,11.19601744,Unknown,Unknown
PRIVATE,Forestry (Commercial Timber Production),129.41070094,Softwood Plantation,Unknown
PRIVATE,Livestock Production (Beef Cattle),38.33886906,Pasture and grassland,Pasture and grassland
PUBLIC,Water Supply,0.69790345,Unknown,Unknown
PUBLIC,Water Supply,31.95138317,Softwood Plantation,Unknown
PUBLIC,Water Supply,33.09170337,Softwood Plantation,Unknown
PRIVATE,Livestock Production (Beef Cattle),19.37934504,Pasture and grassland,Pasture and grassland
PUBLIC,National Park - Land,0.56460812,Unknown,Unknown
PUBLIC,National Park - Land,83.30592789,Native woody cover,Native woody cover
PUBLIC,Reserved Land,230.00912454,Softwood Plantation,Native woody cover
PUBLIC,Reserved Land,5.29628287,Unknown,Unknown
PUBLIC,Water Supply,44.96267447,Softwood Plantation,Unknown
PUBLIC,Reserved Land,126.75936209,Native woody cover,Native woody cover
PUBLIC,Reserved Land,0.45621605,Unknown,Unknown
PUBLIC,National Park - Land,0.03634635,Unknown,Unknown
PRIVATE,Forestry (Commercial Timber Production),48.80502656,Softwood Plantation,Pasture and grassland
PRIVATE,Forestry (Commercial Timber Production),27.54591764,Softwood Plantation,Unknown
PUBLIC,Reserved Land,1.14683831,Unknown,Unknown
PUBLIC,Reserved Land,0.69158906,Unknown,Unknown
PUBLIC,National Park - Land,41.42652494,Native woody cover,Native woody cover
PUBLIC,Forest Reserves - Public,24.26197535,Native woody cover,Native woody cover
PUBLIC,National Park - Land,13.57396533,Native woody cover,Native woody cover
PUBLIC,National Park - Land,12.61364400,Native woody cover,Native woody cover
PUBLIC,National Park - Land,40.78413853,Native woody cover,Native woody cover
PUBLIC,Water Supply,54.96459153,Softwood Plantation,Native woody cover
PUBLIC,National Park - Land,0.18757034,Unknown,Unknown
PUBLIC,National Park - Land,8.29906743,Unknown,Unknown
PUBLIC,National Park - Land,0.03073392,Unknown,Unknown
PUBLIC,National Park - Land,1.49670443,Unknown,Unknown
PUBLIC,National Park - Land,0.10918038,Unknown,Unknown
PUBLIC,National Park - Land,0.03432802,Unknown,Unknown
PUBLIC,National Park - Land,0.60718712,Unknown,Unknown
PUBLIC,National Park - Land,1.08083010,Unknown,Unknown
PUBLIC,National Park - Land,0.01825297,Unknown,Unknown
PUBLIC,National Park - Land,0.05104027,Unknown,Unknown
PRIVATE,Unclassified Private Land,82.03377765,Unknown,Unknown
PUBLIC,Creek Reserve (fresh Water),38.25797861,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),67.21819764,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),19.86813792,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),36.91493216,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),35.57018465,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),1.65281802,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),80.39874045,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),1.32164106,Unknown,Unknown
PRIVATE,Detached Home,0.60113425,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.17617064,Unknown,Unknown
PRIVATE,Detached Home,0.19857816,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),7.74564762,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),0.07541542,Unknown,Unknown
PRIVATE,Detached Home,0.18680656,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),0.06752691,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.02794994,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),1.03680029,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),0.24394833,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),36.92725829,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),0.50339040,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),1.07927155,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),1.79004963,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.18628009,Unknown,Unknown
PUBLIC,Creek Reserve (fresh Water),5.60819822,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.03129469,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),0.47680979,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.19435922,Unknown,Unknown
PUBLIC,Creek Reserve (fresh Water),0.78080572,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),81.26122422,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),0.15928844,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.92739378,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.49778819,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.11011884,Unknown,Unknown
PUBLIC,Creek Reserve (fresh Water),3.07734660,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),3.46764784,Unknown,Unknown
PUBLIC,Creek Reserve (fresh Water),3.47769327,Unknown,Unknown
PUBLIC,Creek Reserve (fresh Water),0.18019481,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),1.33565123,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),0.30375117,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),8.26357586,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),9.40557693,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.92284528,Unknown,Unknown
PUBLIC,Creek Reserve (fresh Water),1.91973507,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.68751876,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),10.53087221,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),17.43664860,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),2.53996264,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),20.83033203,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),1.73204340,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),9.42954154,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),11.98382241,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.22564820,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.10084282,Unknown,Unknown
PUBLIC,Conservation Area - Public,8.22144846,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.35594522,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.83053639,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.09204189,Unknown,Unknown
