TENURE,LU_DESC,HECTARES,LC_DESC_11,LC_DESC_10
PUBLIC,Water Supply,33.10597574,Native woody cover,Native woody cover
PUBLIC,National Park - Land,83.34194206,Native woody cover,Native woody cover
PUBLIC,National Park - Land,24.27244851,Native woody cover,Native woody cover
PUBLIC,Water Supply,54.98806551,Native woody cover,Native woody cover
PUBLIC,National Park - Land,219.28453860,Native woody cover,Native woody cover
PUBLIC,National Park - Land,37.09402568,Native woody cover,Native woody cover
PUBLIC,Water Supply,26.61043908,Native woody cover,Native woody cover
PUBLIC,National Park - Land,40.80156449,Native woody cover,Native woody cover
PUBLIC,National Park - Land,8.30260510,Unknown,Unknown
PUBLIC,Forest Reserves - Public,0.45641094,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),23.51332570,Softwood Plantation,Native woody cover
PUBLIC,Water Supply,0.69819966,Unknown,Unknown
PUBLIC,National Park - Land,0.56484640,Unknown,Unknown
PUBLIC,Water Supply,32.32894733,Native woody cover,Native woody cover
PUBLIC,National Park - Land,28.55823260,Native woody cover,Native woody cover
PUBLIC,Water Supply,2.84940144,Unknown,Unknown
PUBLIC,National Park - Land,60.44013921,Native woody cover,Native woody cover
PUBLIC,National Park - Land,12.99241926,Native woody cover,Native woody cover
PUBLIC,Water Supply,0.31031715,Unknown,Unknown
PUBLIC,National Park - Land,0.16907645,Unknown,Unknown
PUBLIC,Water Supply,5.14852079,Unknown,Unknown
PUBLIC,Water Supply,0.20287733,Unknown,Unknown
PUBLIC,Water Supply,0.22111493,Unknown,Unknown
PRIVATE,Unclassified Private Land,68.76971728,Softwood Plantation,Native woody cover
PUBLIC,National Park - Land,0.72334794,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.35460164,Unknown,Unknown
PUBLIC,Forest Reserves - Public,3.44655656,Unknown,Unknown
PUBLIC,Forest Reserves - Public,3.03767570,Unknown,Unknown
PUBLIC,Reserved Land,0.70422889,Unknown,Unknown
PUBLIC,Forest Reserves - Public,1.24462369,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.39112076,Unknown,Unknown
PRIVATE,Detached Home,0.25641905,Unknown,Unknown
PRIVATE,Detached Home,0.15790167,Unknown,Unknown
PRIVATE,Detached Home,1.50956730,Unknown,Unknown
PRIVATE,Detached Home,0.07894672,Unknown,Unknown
PUBLIC,Forest Reserves - Public,1.05727895,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.07895146,Unknown,Unknown
PRIVATE,Detached Home,0.07894725,Unknown,Unknown
PRIVATE,Detached Home,0.07895093,Unknown,Unknown
PUBLIC,Forest Reserves - Public,1.33241108,Unknown,Unknown
PRIVATE,Detached Home,0.07894697,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.07895410,Unknown,Unknown
PRIVATE,Detached Home,0.07894727,Unknown,Unknown
PUBLIC,Forest Reserves - Public,1.54754156,Unknown,Unknown
PRIVATE,Detached Home,0.99290724,Unknown,Unknown
PUBLIC,Reserved Land,0.21874660,Unknown,Unknown
PUBLIC,"Unspecified - Transport, Storage, Utilities and Communication",0.06387872,Unknown,Unknown
PUBLIC,National Park - Land,651.11813331,Native woody cover,Native woody cover
PRIVATE,Livestock Production (Beef Cattle),20.70109320,Pasture and grassland,Pasture and grassland
PUBLIC,National Park - Land,5.23263847,Unknown,Unknown
PUBLIC,National Park - Land,11.03680457,Unknown,Unknown
PUBLIC,Reserved Land,1.08404011,Unknown,Unknown
PUBLIC,National Park - Land,35.94225686,Native woody cover,Native woody cover
PRIVATE,Livestock Production (Beef Cattle),8.14805699,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),25.30453752,Hardwood plantation,Native woody cover
PUBLIC,National Park - Land,0.00999169,Unknown,Unknown
PUBLIC,Nature Reserve,9.36219692,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),19.88506686,Pasture and grassland,Pasture and grassland
PUBLIC,Water Supply,16.98477618,Pasture and grassland,Pasture and grassland
PRIVATE,Unclassified Private Land,0.09292697,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),25.68184109,Softwood Plantation,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),27.12924553,Softwood Plantation,Pasture and grassland
PUBLIC,National Park - Land,0.18925016,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),4.78835597,Unknown,Unknown
PRIVATE,Unclassified Private Land,1.71809547,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.64187381,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),53.73059281,Softwood Plantation,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),8.40149824,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),13.40809138,Pasture and grassland,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),9.45433149,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),4.67733455,Unknown,Unknown
PUBLIC,Nature Reserve,11.90117126,Unknown,Unknown
PUBLIC,Nature Reserve,5.78629879,Unknown,Unknown
PUBLIC,Water Supply,1.34034238,Unknown,Unknown
PUBLIC,Forest Reserves - Public,9.93639533,Unknown,Unknown
PRIVATE,Unclassified Private Land,22.15027424,Pasture and grassland,Pasture and grassland
PRIVATE,Detached Home,1.64534389,Unknown,Unknown
PUBLIC,Forest Reserves - Public,1.41589128,Unknown,Unknown
PUBLIC,Forest Reserves - Public,0.09130451,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),3.39450701,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),0.51580238,Unknown,Unknown
PUBLIC,Forest Reserves - Public,15.18296979,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),7.97534896,Unknown,Unknown
PUBLIC,Nature Reserve,0.09388933,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),0.52316001,Unknown,Unknown
PRIVATE,Unclassified Private Land,3.17683965,Unknown,Unknown
PUBLIC,Community Service Facilities or Other,2.95013222,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),0.05548078,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),0.14300515,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),0.69194948,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),2.30876823,Unknown,Unknown
PUBLIC,Reserved Land,0.05511880,Unknown,Unknown
PUBLIC,National Park - Land,31.96545798,Native woody cover,Native woody cover
PUBLIC,National Park - Land,44.98252075,Native woody cover,Native woody cover
PUBLIC,National Park - Land,0.03636218,Unknown,Unknown
PUBLIC,National Park - Land,12.61890754,Native woody cover,Native woody cover
PUBLIC,National Park - Land,13.57959279,Native woody cover,Native woody cover
PUBLIC,National Park - Land,41.44430752,Native woody cover,Native woody cover
PUBLIC,National Park - Land,167.00780068,Native woody cover,Native woody cover
PUBLIC,National Park - Land,0.18764866,Unknown,Unknown
PUBLIC,National Park - Land,0.03074610,Unknown,Unknown
PUBLIC,National Park - Land,1.49732529,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),13.85608007,Native woody cover,Native woody cover
PUBLIC,National Park - Land,0.10922622,Unknown,Unknown
PUBLIC,National Park - Land,0.03434238,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.70521079,Unknown,Unknown
