TENURE,LU_DESC,HECTARES,LC_DESC_13,LC_DESC_12
PUBLIC,National Park - Land,41.44400000,Native woody cover,Native woody cover
PUBLIC,National Park - Land,24.27200000,Native woody cover,Native woody cover
PUBLIC,National Park - Land,40.80200000,Native woody cover,Native woody cover
PUBLIC,National Park - Land,0.18800000,Unknown,Unknown
PUBLIC,National Park - Land,0.03100000,Unknown,Unknown
PUBLIC,National Park - Land,1.49700000,Unknown,Unknown
PUBLIC,National Park - Land,0.10900000,Unknown,Unknown
PUBLIC,National Park - Land,0.03400000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),1.79100000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),0.75500000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),1.03700000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),0.19900000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),0.60100000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),0.18700000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),7.74800000,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),35.58300000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),0.03100000,Unknown,Unknown
PUBLIC,Nature Reserve,4.02900000,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.08100000,Unknown,Unknown
PUBLIC,Reserved Land,1.36000000,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),1.32200000,Unknown,Unknown
PUBLIC,Nature Reserve,0.78100000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.17600000,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),36.92800000,Pasture and grassland,Pasture and grassland
PUBLIC,Reserved Land,0.21600000,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),0.24400000,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),0.50400000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.02800000,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),0.14300000,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),1.65300000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),9.40900000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),80.41900000,Pasture and grassland,Pasture and grassland
PRIVATE,Telephone Exchange - Purpose Built,13.98700000,Pasture and grassland,Pasture and grassland
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),13.99200000,Hardwood plantation,Hardwood plantation
PRIVATE,Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),19.19600000,Hardwood plantation,Hardwood plantation
PRIVATE,Mixed farming and grazing  (generally more than 20ha),40.01200000,Pasture and grassland,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),81.29000000,Unknownr,Unknown
PRIVATE,Native Hardwood (standing timber),32.85700000,Pasture and grassland,Pasture and grassland
PRIVATE,Unclassified Private Land,80.31200000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),53.01300000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),27.79600000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),0.83100000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.27100000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),36.94100000,Pasture and grassland,Pasture and grassland
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),1.80200000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),0.20800000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),0.04400000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),3.22400000,Unknown,Unknown
PUBLIC,Reserved Land,0.11600000,Unknown,Unknown
PUBLIC,Nature Reserve,3.07800000,Unknown,Unknown
PUBLIC,Nature Reserve,3.47900000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.92300000,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.68800000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),6.48600000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.73300000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),0.78100000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.08000000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.49800000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.08900000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.85200000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.09700000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.66800000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),3.46900000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.92800000,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.09700000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.15900000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.03200000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),0.47700000,Unknown,Unknown
PRIVATE,Unclassified Private Land,1.33600000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),0.84700000,Unknown,Unknown
PRIVATE,Detached Home,0.12400000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),0.18600000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),0.99000000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.11000000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.19400000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),1.08000000,Unknown,Unknown
PUBLIC,Nature Reserve,0.18000000,Unknown,Unknown
PRIVATE,Detached Home,0.32700000,Unknown,Unknown
PUBLIC,Nature Reserve,8.22400000,Unknown,Unknown
PUBLIC,Nature Reserve,4.54200000,Unknown,Unknown
PUBLIC,Reserved Land,0.27200000,Unknown,Unknown
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),0.43500000,Unknown,Unknown
PUBLIC,National Park - Land,1524.01800000,Native woody cover,Native woody cover
PUBLIC,Forest Reserves - Public,409.32100000,Pasture and grassland,Pasture and grassland
PUBLIC,National Park - Land,651.11800000,Native woody cover,Native woody cover
PRIVATE,Residential Rural / Rural Lifestyle (0.4 to 20 Ha),2.09800000,Unknown,Unknown
PUBLIC,Reserved Land,2.09200000,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),16.70700000,Pasture and grassland,Pasture and grassland
PUBLIC,Nature Reserve,39.55100000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),107.74600000,Pasture and grassland,Pasture and grassland
PUBLIC,National Park - Land,36.11100000,Native woody cover,Native woody cover
PUBLIC,National Park - Land,0.90300000,Unknown,Unknown
PUBLIC,National Park - Land,8.92300000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,112.23300000,Native woody cover,Native woody cover
PRIVATE,Livestock Production (Dairy Cattle),50.65800000,Pasture and grassland,Pasture and grassland
PUBLIC,Nature Reserve,4.38100000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),27.84100000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),56.77600000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),32.18500000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),24.00700000,Hardwood plantation,Hardwood plantation
PRIVATE,Livestock Production (Dairy Cattle),41.90900000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),4.74000000,Unknown,Unknown
PUBLIC,Forest Reserves - Public,1.06200000,Unknown,Unknown
PUBLIC,Forestry (Commercial Timber Production),166.96400000,Softwood Plantation,Softwood Plantation
PRIVATE,Livestock Production (Dairy Cattle),62.60000000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),15.36500000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),23.29500000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),82.10600000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),18.59900000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),63.24900000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),34.88700000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),42.72100000,Pasture and grassland,Pasture and grassland
PUBLIC,Nature Reserve,3.56600000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.21800000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),54.05800000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),3.27600000,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),74.59100000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),14.10500000,Pasture and grassland,Pasture and grassland
PRIVATE,Unclassified Private Land,0.12700000,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),45.27000000,Pasture and grassland,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),56.83300000,Pasture and grassland,Pasture and grassland
PRIVATE,Mixed farming and grazing  (generally more than 20ha),13.54500000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),47.74600000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),67.24200000,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Beef Cattle),19.87500000,Pasture and grassland,Pasture and grassland
PUBLIC,National Park - Land,111.78300000,Native woody cover,Native woody cover
PRIVATE,Livestock Production (Beef Cattle),49.15600000,Softwood Plantation,Softwood Plantation
PUBLIC,National Park - Land,133.13600000,Native woody cover,Native woody cover
PUBLIC,National Park - Land,4.53900000,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),28.14300000,Softwood Plantation,Softwood Plantation
PUBLIC,Nature Reserve,11.11700000,Unknown,Unknown
