LU_DESC,LC_DESC_14,LC_DESC_15,HECTARES,TENURE
Softwood Plantation,Softwood Plantation,Softwood Plantation,27.55789215,PRIVATE
Softwood Plantation,Softwood Plantation,Softwood Plantation,73.33681942,PRIVATE
Softwood Plantation,Softwood Plantation,Softwood Plantation,127.70911676,PRIVATE
Softwood Plantation,Softwood Plantation,Softwood Plantation,44.93578816,PRIVATE
Softwood Plantation,Softwood Plantation,Softwood Plantation,48.82620002,PRIVATE
Softwood Plantation,Softwood Plantation,Softwood Plantation,70.71778645,PRIVATE
Forest Reserves - Public,Native woody cover,Native woody cover,126.81371886,PUBLIC
Softwood Plantation,Softwood Plantation,Softwood Plantation,83.32043342,PRIVATE
Forest Reserves - Public,Unknown,Unknown,1.14732599,PUBLIC
Forest Reserves - Public,Unknown,Unknown,5.29842310,PUBLIC
Reserved Land,Native woody cover,Native woody cover,230.10583501,PUBLIC
Native Hardwood (standing timber),Softwood Plantation,Softwood Plantation,35.50593357,PRIVATE
Reserved Land,Unknown,Unknown,0.69188334,PUBLIC
Forest Reserves - Public,Unknown,Unknown,8.93023027,PUBLIC
Forest Reserves - Public,Unknown,Unknown,2.21191959,PUBLIC
Softwood Plantation,Softwood Plantation,Softwood Plantation,96.42892897,PRIVATE
Native Hardwood (standing timber),Softwood Plantation,Softwood Plantation,19.15498030,PRIVATE
Reserved Land,Native woody cover,Native woody cover,513.59219668,PUBLIC
Softwood Plantation,Softwood Plantation,Native woody cover,129.46475162,PRIVATE
Native Hardwood (standing timber),Softwood Plantation,Softwood Plantation,19.62436349,PRIVATE
Softwood Plantation,Softwood Plantation,Hardwood plantation,114.89321351,PRIVATE
Nature Reserve,Unknown,Unknown,11.20059362,PUBLIC
Livestock Production (Beef Cattle),Pasture and grassland,Pasture and grassland,38.35453379,PRIVATE
Forest Reserves - Public,Native woody cover,Native woody cover,126.16188585,PUBLIC
Forest Reserves - Public,Unknown,Unknown,8.41694641,PUBLIC
Forest Reserves - Public,Unknown,Unknown,10.20606492,PUBLIC
Separate House and Curtilage,Softwood Plantation,Hardwood plantation,19.38722747,PRIVATE
Forest Reserves - Public,Native woody cover,Native woody cover,49.86197418,PUBLIC
Unclassified Private Land,Hardwood plantation,Pasture and grassland,23.65996579,PRIVATE
Mixed farming and grazing  (generally more than 20ha),Pasture and grassland,Pasture and grassland,31.93632599,PRIVATE
Livestock Production (Dairy Cattle),Pasture and grassland,Pasture and grassland,19.86869729,PRIVATE
Nature Reserve,Unknown,Unknown,3.38013558,PUBLIC
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),Unknown,Unknown,11.85114505,PRIVATE
Livestock Production (Dairy Cattle),Hardwood plantation,Pasture and grassland,17.93671741,PRIVATE
Separate House and Curtilage,Unknown,Unknown,3.05388811,PRIVATE
Separate House and Curtilage,Unknown,Unknown,5.85190497,PRIVATE
Separate House and Curtilage,Unknown,Unknown,12.15108337,PRIVATE
Livestock Production (Dairy Cattle),Unknown,Unknown,0.05661551,PRIVATE
National Park - Land,Native woody cover,Native woody cover,563.62904997,PUBLIC
Unclassified Private Land,Unknown,Unknown,0.89664983,PRIVATE
Reserved Land,Unknown,Unknown,2.56936395,PUBLIC
National Park - Land,Unknown,Unknown,0.30665735,PUBLIC
Separate House and Curtilage,Unknown,Unknown,9.62422457,PRIVATE
