LU_DESC,HECTARES,TENURE,LC_DESC_16
Livestock Production (Beef Cattle),56.77568028,PRIVATE,Pasture and grassland
Livestock Production (Beef Cattle),107.74550169,PRIVATE,Pasture and grassland
National Park - Land,36.11104926,PUBLIC,Native woody cover
URBAN VOID,1100.78832152,VOID,VOID
Separate House and Curtilage,9.62422457,PRIVATE,Unknown
National Park - Land,563.62904997,PUBLIC,Native woody cover
Livestock Production (Beef Cattle),111.65474893,PRIVATE,Pasture and grassland
Separate House and Curtilage,2.54232118,PRIVATE,Unknown
Separate House and Curtilage,0.27964241,PRIVATE,Unknown
Livestock Production (Beef Cattle),49.15606981,PRIVATE,Softwood Plantation
National Park - Land,0.33068121,PUBLIC,Unknown
National Park - Land,1.00297441,PUBLIC,Unknown
Reserved Land,8.92345564,PUBLIC,Unknown
Reserved Land,111.78250478,PUBLIC,Native woody cover
National Park - Land,4.53928159,PUBLIC,Unknown
National Park - Land,0.90321843,PUBLIC,Unknown
National Park - Land,133.13641802,PUBLIC,Native woody cover
Mixed farming and grazing  (generally more than 20ha),12.73968586,PRIVATE,Pasture and grassland
Livestock Production (Beef Cattle),101.50054972,PRIVATE,Pasture and grassland
Nature Reserve,8.63755235,PUBLIC,Unknown
Livestock Production (Dairy Cattle),5.62905629,PRIVATE,Unknown
Livestock Production (Dairy Cattle),17.32561973,PRIVATE,Pasture and grassland
Separate House and Curtilage,3.24042150,PRIVATE,Unknown
Livestock Production (Dairy Cattle),50.65787325,PRIVATE,Pasture and grassland
Livestock Production (Dairy Cattle),17.86386070,PRIVATE,Pasture and grassland
Livestock Production (Dairy Cattle),41.90880094,PRIVATE,Pasture and grassland
Livestock Production (Dairy Cattle),3.61521113,PRIVATE,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),2.61124099,PRIVATE,Unknown
Livestock Production (Dairy Cattle),63.24941886,PRIVATE,Pasture and grassland
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),13.69121016,PRIVATE,Pasture and grassland
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),3.47949541,PRIVATE,Unknown
Short Term Holiday Accommodation,3.84010955,PRIVATE,Unknown
Nature Reserve,4.38130055,PUBLIC,Unknown
Livestock Production (Dairy Cattle),27.84096345,PRIVATE,Pasture and grassland
Livestock Production (Dairy Cattle),3.27567581,PRIVATE,Unknown
Separate House and Curtilage,2.99153789,PRIVATE,Unknown
Separate House and Curtilage,8.55998919,PRIVATE,Unknown
Separate House and Curtilage,4.03202256,PRIVATE,Unknown
Softwood Plantation,86.55308678,PRIVATE,Pasture and grassland
Separate House and Curtilage,5.18664837,PRIVATE,Unknown
Livestock Production (Beef Cattle),51.23073099,PRIVATE,Pasture and grassland
Separate House and Curtilage,9.85745653,PRIVATE,Unknown
Livestock Production (Dairy Cattle),74.59084894,PRIVATE,Pasture and grassland
Nature Reserve,3.56560309,PUBLIC,Unknown
Livestock Production (Dairy Cattle),18.59880509,PRIVATE,Pasture and grassland
Livestock Production (Dairy Cattle),15.36497844,PRIVATE,Pasture and grassland
Livestock Production (Dairy Cattle),4.74034888,PRIVATE,Unknown
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),1.20622535,PRIVATE,Unknown
Livestock Production (Dairy Cattle),34.88746272,PRIVATE,Pasture and grassland
Separate House and Curtilage,1.62488765,PRIVATE,Unknown
Separate House and Curtilage,14.09617452,PRIVATE,Pasture and grassland
Livestock Production (Beef Cattle),49.66406278,PRIVATE,Pasture and grassland
Livestock Production (Beef Cattle),32.18500684,PRIVATE,Pasture and grassland
Livestock Production (Dairy Cattle),62.59990499,PRIVATE,Pasture and grassland
Vacant Residential Rural / Rural Lifestyle (0.4 to 20ha),11.97439691,PRIVATE,Unknown
Livestock Production (Beef Cattle),28.51455922,PRIVATE,Pasture and grassland
Unclassified Private Land,47.70118378,PRIVATE,Hardwood plantation
Unclassified Private Land,1.83190309,PRIVATE,Unknown
Unclassified Private Land,86.22061827,PRIVATE,Pasture and grassland
Unclassified Private Land,7.04487047,PRIVATE,Unknown
Unclassified Private Land,0.01653619,PRIVATE,Unknown
Livestock Production (Beef Cattle),44.32816998,PRIVATE,Pasture and grassland
Livestock Production (Beef Cattle),6.18778832,PRIVATE,Unknown
Unclassified Private Land,0.89664983,PRIVATE,Unknown
Reserved Land,2.56936395,PUBLIC,Unknown
National Park - Land,0.30665735,PUBLIC,Unknown
Native Hardwood (standing timber),35.50593357,PRIVATE,Softwood Plantation
Nature Reserve,39.55082362,PUBLIC,Pasture and grassland
Unclassified Private Land,80.31246032,PRIVATE,Pasture and grassland
Livestock Production (Dairy Cattle),53.01261394,PRIVATE,Pasture and grassland
Separate House and Curtilage,2.09826280,PRIVATE,Unknown
Livestock Production (Beef Cattle),16.70741255,PRIVATE,Pasture and grassland
Native Hardwood (standing timber),32.85744540,PRIVATE,Pasture and grassland
Livestock Production (Beef Cattle),47.74589422,PRIVATE,Pasture and grassland
Mixed farming and grazing  (generally more than 20ha),27.79611662,PRIVATE,Pasture and grassland
Mixed farming and grazing  (generally more than 20ha),56.83335656,PRIVATE,Pasture and grassland
Community Service Facilities or Other,2.09164445,PUBLIC,Unknown
Livestock Production (Beef Cattle),19.87507999,PRIVATE,Pasture and grassland
Livestock Production (Dairy Cattle),54.05846940,PRIVATE,Pasture and grassland
Mixed farming and grazing  (generally more than 20ha),0.21796487,PRIVATE,Unknown
Livestock Production (Dairy Cattle),67.24167993,PRIVATE,Pasture and grassland
Mixed farming and grazing  (generally more than 20ha),13.54489180,PRIVATE,Pasture and grassland
Livestock Production (Dairy Cattle),14.10451070,PRIVATE,Pasture and grassland
Nature Reserve,59.49884405,PUBLIC,Pasture and grassland
Forest Reserves - Public,11.83429858,PUBLIC,Unknown
Livestock Production (Dairy Cattle),3.86995405,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.26913093,PRIVATE,Unknown
Livestock Production (Beef Cattle),31.23302335,PRIVATE,Pasture and grassland
Detached Home,0.22652824,PRIVATE,Unknown
Separate House and Curtilage,0.40486793,PRIVATE,Unknown
Detached Home,0.26685393,PRIVATE,Unknown
Separate House and Curtilage,0.60906031,PRIVATE,Unknown
Forest Reserves - Public,0.16422070,PUBLIC,Unknown
Separate House and Curtilage,1.81422989,PRIVATE,Unknown
Mixed farming and grazing  (generally more than 20ha),16.49259073,PRIVATE,Pasture and grassland
Nature Reserve,0.89231293,PUBLIC,Unknown
Forest Reserves - Public,0.13796295,PUBLIC,Unknown
Separate House and Curtilage,3.91231085,PRIVATE,Unknown
Detached Home,0.16939720,PRIVATE,Unknown
Livestock Production (Dairy Cattle),28.73307863,PRIVATE,Pasture and grassland
Detached Home,0.15977618,PRIVATE,Unknown
Vacant Residential Home Site / Surveyed Lot,0.15566435,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.52794457,PRIVATE,Unknown
Detached Home,0.26651552,PRIVATE,Unknown
Detached Home,0.22229062,PRIVATE,Unknown
Mixed farming and grazing  (generally more than 20ha),31.97239419,PRIVATE,Hardwood plantation
Detached Home,0.06687557,PRIVATE,Unknown
Detached Home,0.31990429,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.13781595,PRIVATE,Unknown
Livestock Production (Dairy Cattle),0.06050120,PRIVATE,Unknown
Livestock Production (Beef Cattle),24.71922259,PRIVATE,Softwood Plantation
Livestock Production (Dairy Cattle),17.38587505,PRIVATE,Pasture and grassland
Mixed farming and grazing  (generally more than 20ha),32.60355001,PRIVATE,Pasture and grassland
Livestock Production (Beef Cattle),17.87410914,PRIVATE,Pasture and grassland
Livestock Production (Dairy Cattle),53.08487240,PRIVATE,Pasture and grassland
