VARIABLE,Total Agricultural Productivity,labour input ag,Total Tourism Productivity,labour input tourism,Total Other Productivity,labour input other,profitability increase from regenerative agriculture,FFDI model,rainfall linear model,temperature linear model,CO2 linear model,Housing Land,Forest Land,Agriculture Land,Protected Land,Fertilisation Intensity,fertiliser consumption,road accidents,0-14,15-64,65+,total population
1990,,,,,,,,1.336232,807.2,17.32959,350.9784167,,,,,,,,,,,
1991,,,,,,,,1.172591,892.8,16.8074,352.6741667,,,,,,,,,,,
1992,,,,,,,,1.019195,973.5,16.36411,354.1765,,,,,,,,,,,
1993,,,,,,,,1.299484,848.8,17.33589,355.0154167,,,,,,,,,,,
1994,,,,,,,,1.466974,662.6,16.9179,356.4740833,,,,,,,,,,,
1995,,,,,,,,1.160644,1007.6,16.44294,358.4995,,,,,,,,,,,
1996,,,,,,,,1.012667,802.6,16.12811,360.0089167,,,,,,,,,,,
1997,,,,,,,,1.555627,577,16.67723,361.3508333,,,,,,,,,,,
1998,,,,,,,,1.504168,616.7,16.53844,363.86075,,,,,,,,,,,
1999,,,,,,,,1.3509,517.2,16.92571,365.7935833,,,,,,,,,,,
2000,,,,,,,,1.665338,668.9,17.22284,367.0693333,,,,,,,,,,,
2001,,,,,,,,1.615624,944.1,17.18994,368.585,,,,,,,,,,,
2002,,,,,,,,1.613517,689.6,16.70822,370.7375,,,,,,,,,,,
2003,,,,,,,,1.68978,760,16.62727,373.0023333,,,,,,,,,,,
2004,,,,,,,,1.494602,714.8,16.45879,374.8798333,,,,,,,,,,,
2005,,,,,,,,1.749567,712.4,17.44601,376.8715833,,,,,,,,,,,
2006,,12,,30,,9,,2.220769,507.9,16.8346,378.7966667,53.3,,3549.5,1283.7,,,10,45,106,20,171
2007,2025000,,2150000,,1175000,,1.8,1.828233,759,17.56936,380.6820833,,,,,,,6,,,,
2008,,,,,,,1.34,2.077215,558.1,16.88247,382.8125833,57.3,4436,3650.3,3678.2,0.254,926.89,14,,,,
2009,2250000,,25000,,4200000,,1.46,2.062342,666,17.27665,384.3755,,,,,,,8,,,,
2010,2325000,,25000,,8250000,,1.58,1.400305,823.4,16.93068,386.195,130,4298.6,3566.9,3995,0.1998,712.82,5,,,,
2011,2250000,33,2000000,47,2850000,70,1,1.23162,649.2,17.36822,388.0644167,,,,,,,7,40,165,35,240
2012,2250000,,2125000,,2650000,,1.31,1.796227,518.4,17.60689,390.1014167,505.2,4518.7,3148.3,3820.5,0.1993,627.44,7,,,,
2013,1900000,,1775000,,2325000,,1.81,2.007851,759.3,17.86872,392.8239167,,,,,0.157,456.56,8,,,,
2014,1900000,,1850000,,2375000,,1.25,1.897061,620.6,17.87699,394.8325833,504.7,,2916.8,,,,15,,,,
2015,1875000,,3100000,,2100000,,1.45,1.962702,567.8,17.29945,397.3038333,,,,,0.1987,579.64,13,,,,
2016,1875000,24,3100000,30,1975000,7,1.09,1.722657,905,17.50874,400.4695833,493.9,,2916.8,,,,15,28,158,45,231
2017,2250000,,3100000,,1825000,,,1.608992,751,17.56253,402.437,510.6,4080.4,3194.9,4204.8,0.1267,404.95,14,,,,
2018,1900000,,3450000,,2825000,,,1.990717,698.2,17.72465,404.9089167,,,,,,,9,,,,
2019,1900000,,3450000,,2825000,,,2.075312,688.6,17.58407,407.349,,,,,,,7,,,,
2020,2225000,,6950000,,2525000,,,,,,409.6749167,,,,,,,6,,,,
